구분,학습방식,문서명,수집키워드
일반,지도학습,1.pdf,"농업, 스마트, 스마트농업, 육성지원법률, 농업여건변화"
일반,지도학습,10.PDF,
일반,지도학습,11.pdf,"스마트농업, 농업, 데이터, 관리, 시장"
일반,지도학습,12.pdf,"스마트농업, 데이터, 있다, 노지, 기술"
일반,지도학습,13.pdf,"개발, 데이터, 시스템, 분석, NDVI"
일반,지도학습,14.pdf,"천적, 그림, 대한, 해충의, 마리"
일반,지도학습,15.pdf,
일반,지도학습,2.PDF,"고추, 발생, 토양, 있음, 품종"
일반,지도학습,3.PDF,"대조구, 조사일, 표준재배, 흑색, 청색"
일반,지도학습,4.PDF,
일반,지도학습,5.PDF,"UIF, TFU, POJPO, RVBSF, XFFLT"
일반,지도학습,6.PDF,
일반,지도학습,7.PDF,"있다, 데이터, 농업, 노지, 그림"
일반,지도학습,8.PDF,"발생, 평년대비, 정도가, 구비대, 조사"
일반,지도학습,1.pdf,"농업, 스마트, 스마트농업, 육성지원법률, 농업여건변화"
일반,지도학습,10.PDF,
일반,지도학습,11.pdf,"스마트농업, 농업, 데이터, 관리, 시장"
일반,지도학습,12.pdf,"스마트농업, 데이터, 있다, 노지, 기술"
일반,지도학습,13.pdf,"개발, 데이터, 시스템, 분석, NDVI"
일반,지도학습,14.pdf,"천적, 그림, 대한, 해충의, 마리"
일반,지도학습,15.pdf,
일반,지도학습,2.PDF,"고추, 발생, 토양, 있음, 품종"
일반,지도학습,3.PDF,"대조구, 조사일, 표준재배, 흑색, 청색"
일반,지도학습,4.PDF,
일반,지도학습,5.PDF,"UIF, TFU, POJPO, RVBSF, XFFLT"
일반,지도학습,6.PDF,
일반,지도학습,7.PDF,"있다, 데이터, 농업, 노지, 그림"
일반,지도학습,8.PDF,"발생, 평년대비, 정도가, 구비대, 조사"
